Database,Duplicate ID,Isolation Level,Transaction Mode,# Transaction,BEGIN,START TRANSACTION / XA START,START TRANSACTION WITH CONSISTENT SNAPSHOT / START TRANSACTION READ ONLY,SET AUTOCOMMIT=0,COMMIT / XA COMMIT,ROLLBACK / XA ROLLBACK,SELECT,SELECT ... FOR SHARE,SELECT ... FOR UPDATE / FOR UPDATE SKIP LOCKED,INSERT,REPLACE / REPLACE ... SELECT,UPDATE,DELETE,ALTER,CREATE / DROP TABLE / TABLESPACE / TEMPORARY TABLE / SEQUENCE,CHECK TABLE,SHOW,SET,COMMENT ON,RESET,SAVEPOINT / ROLLBACK TO,ANALYZE,ADMIN,EXPLAIN,Cluster,Key,Index,Data Constraint,Partition,Deterministic?,id
MariaDB,-,unspecified,Pessimistic,2,-,Yes,-,Yes,Yes,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,-,-,-,-,"No, need repeat",MariaDB_MDEV-24463
MariaDB,-,READ COMMITTED,Pessimistic,1,Yes,-,-,-,-,-,-,-,-,-,-,-,Yes,-,-,-,Yes,-,-,-,-,-,-,-,-,-,Yes,"NOT NULL
DEFAULT NULL",-,Yes,MariaDB_MDEV-24224
MariaDB,-,REPEATABLE READ,Pessimistic,1,-,-,Yes,-,Yes,-,Yes,-,-,Yes,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,MariaDB_MDEV-24083
MariaDB,-,REPEATABLE READ,Pessimistic,1,-,-,Yes,-,Yes,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,-,"NOT NULL
DEFAULT 0",-,Yes,MariaDB_MDEV-24082
MariaDB,-,unspecified,Pessimistic,2,-,Yes,-,Yes,-,Yes,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,Yes,-,AUTO_INCREMENT,-,Yes,MariaDB_MDEV-23608
MariaDB,-,REPEATABLE READ,Pessimistic,3,-,Yes,-,-,-,-,Yes,-,-,Yes,-,-,-,Yes,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,Yes,MariaDB_MDEV-21650
MariaDB,-,unspecified,Pessimistic,1,Yes,-,-,-,-,Yes,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,NOT NULL,-,Yes,MariaDB_MDEV-21516
MariaDB,-,unspecified,Pessimistic,2,Yes,-,-,-,Yes,-,-,-,-,Yes,-,-,-,-,Yes,-,Yes,-,-,-,-,-,-,-,Yes,Yes,-,"NOT NULL
DEFAULT NULL",-,Yes,MariaDB_MDEV-26833
MariaDB,-,REPEATABLE READ,Pessimistic,3,-,Yes,-,-,-,-,Yes,-,-,Yes,-,-,-,Yes,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,Yes,MariaDB_26642
MariaDB,-,unspecified,Pessimistic,2,-,-,-,Yes,-,Yes,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,MariaDB_MCOL-4766
MariaDB,-,unspecified,Pessimistic,2,-,Yes,-,-,-,Yes,Yes,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,-,-,Yes,Yes,MariaDB_MDEV-25546
MariaDB,-,unspecified,Pessimistic,1,-,-,Yes,-,-,Yes,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,MariaDB_MDEV-25457
